# H/Si
# Bounds from the comparisons of a bulk acoustic wave quartz oscillator with a H-maser and a cryogenic sapphire oscillator
# https://arxiv.org/pdf/2008.08773.pdf
# mass [eV] 	d_me
2.2886584089797228e-20	0.00005875738330525238
2.3009222287134228e-20	0.0000553608672975863
2.407139044392872e-20	0.00005038920735179131
2.4358967243106977e-20	0.00004185554532417247
2.4459311445565976e-20	0.00004717475393816925
2.4464390285816555e-20	0.000043569226127706636
2.5167642144971337e-20	0.000052307690078843934
2.5242476096641555e-20	0.00004940825821139756
2.5317532561024337e-20	0.000056907270680778866
2.5859448885979405e-20	0.0000640979286070809
2.6235808937197036e-20	0.00006946279573357883
2.7322257558050855e-20	0.00006166014560944193
2.807143809033154e-20	0.000056509691059865796
2.906893790929106e-20	0.0000522927926562429
3.0686500748806674e-20	0.00005334660346916383
3.144483313321634e-20	0.00005749064072508719
3.2010011897460984e-20	0.00006136223173287013
3.229639931868583e-20	0.00006543452100561216
3.273079183100592e-20	0.00007005692591684051
3.308671858978648e-20	0.00007601512180398215
3.354517588932656e-20	0.00008237588452155317
3.408379408792975e-20	0.00008965591573255541
3.496890254269982e-20	0.00009669777676715692
3.633299835902454e-20	0.00010255949096297066
3.683990902176916e-20	0.00010736789154201845
3.7625976763758514e-20	0.00009310592058643126
3.815452285499653e-20	0.00008615936403455468
3.9000976473772166e-20	0.0000804889843575909
3.9686253181397196e-20	0.00007540316315573039
3.987522772545508e-20	0.00007190547416425683
4.0972474289084126e-20	0.0000875190904910713
4.110255972996521e-20	0.00009668370628912015
4.13215171506403e-20	0.00012642962299687103
4.139519308819862e-20	0.00011548443133865191
4.1426808689712847e-20	0.00010673364326369437
4.189802662110709e-20	0.00008479683552369456
4.318504814239355e-20	0.00008871236266837396
4.3687073137362114e-20	0.00009707448156965804
4.4578781460966915e-20	0.00010829068757442288
4.4870174795695036e-20	0.0001184819129322044
4.568042331697707e-20	0.0001288452576135761
4.613007018675757e-20	0.00013880592661749891
4.63942091504764e-20	0.00015921535725676674
4.765062350468072e-20	0.00013852154423580563
4.7893770417822965e-20	0.00012578032268717324
4.857914206189927e-20	0.00011506610756653864
4.9086585461405146e-20	0.00010777153007606274
4.9695708875873636e-20	0.00010119137978518961
5.178124001816803e-20	0.00009650699483668435
5.2425797346763705e-20	0.00010169222740753471
5.2573008859356534e-20	0.00011034158846754635
5.513980733502342e-20	0.00011288558382490657
5.683822511045946e-20	0.00010223437443802611
5.694216810542204e-20	0.00009754170786987234
5.918293582468254e-20	0.00010377175297754827
6.01955849915138e-20	0.00011177242744200371
6.125459152503763e-20	0.00013789536439697697
6.132952304479796e-20	0.00015588177631863402
6.137506189504834e-20	0.00012464766474021212
6.421050101940387e-20	0.00011628191729982602
6.441940511805482e-20	0.00012914246881606258
6.476032483507952e-20	0.0001374315791693338
6.488863436558393e-20	0.0001438749232094858
6.585909397070891e-20	0.00020359552094950548
6.600590947338485e-20	0.00015736899937280021
6.90631731131008e-20	0.00015502653762073764
6.938614592407524e-20	0.00014450954833291387
7.1355949082717e-20	0.00013491348938378378
7.46302349838788e-20	0.00013210905892095573
7.662603461916912e-20	0.00013709272711159392
7.76566688814873e-20	0.00014776789774510247
7.823522144210092e-20	0.00017841240822654455
7.864726129243137e-20	0.00016188604111293066
8.269784198897873e-20	0.00014889098502478008
8.443014204484306e-20	0.00018025067956321678
8.443014204484306e-20	0.0001644890356543409
8.648806433568239e-20	0.00019987710399646394
8.685675442733744e-20	0.00022307350257950903
9.043284296556682e-20	0.00024406460124445456
9.089043963429329e-20	0.0002225177089504799
9.185589537824436e-20	0.0002029932860873231
9.199146449367894e-20	0.00016694356415375511
9.211293276825003e-20	0.00015771318798311882
9.252407356507409e-20	0.00018511343944062954
9.782085091571788e-20	0.00018920221747524216
9.833042753917971e-20	0.00020441569849826707
1.01414004552584e-19	0.00023373364538971245
1.0238211275370878e-19	0.00021347791129367586
1.025037742817038e-19	0.00033432793722253096
1.0562575368100973e-19	0.0001980846154633428
1.0650232612314143e-19	0.00018481664042596668
1.08130815964421e-19	0.00021895106385408193
1.0885082401196057e-19	0.00024193046826096612
1.1249722089578979e-19	0.00021559636258912192
1.1314364222171223e-19	0.00026738090643621277
1.135598913574063e-19	0.00029977198355136514
1.163239922792257e-19	0.0003398917037792541
1.165775371779832e-19	0.00022650815983587072
1.170862860929488e-19	0.00024726667795617254
1.187064232793322e-19	0.00021712240086857403
1.204988045257246e-19	0.0002805967917606928
1.2240042121248482e-19	0.00031516186220666186
1.2351384856014927e-19	0.00025391021601037754
1.2395468964415909e-19	0.00023820733081750673
1.2580852769055296e-19	0.0003444530370792701
1.2893320846727728e-19	0.0002913214704258886
1.2900649314269208e-19	0.0002255950010166362
1.2956481964728735e-19	0.000316991976158479
1.2959979517685036e-19	0.0002478044269738488
1.3226908727265724e-19	0.0002693418692068149
1.3608842665530686e-19	0.0005997999078613818
1.3630899477680833e-19	0.0003618610247487231
1.3630899477680833e-19	0.0003337938592007226
1.3630899477680833e-19	0.000547613776116755
1.3689892573876738e-19	0.0003087353223365751
1.3770363218439326e-19	0.00028562878549009285
1.4141032850636053e-19	0.00026457394524867506
1.4623147875552703e-19	0.0002573219160090325
1.4757629208550847e-19	0.0002803593967077944
1.476858715234703e-19	0.00029870822913552605
1.4833457270949365e-19	0.0003289016387323356
1.490071886173982e-19	0.0002669851576552549
1.491399687753891e-19	0.00038412704651341823
1.498946277095506e-19	0.0003570943565186207
1.5168539328045267e-19	0.0004611632964515566
1.5355117811302702e-19	0.0004334240059210125
1.5462347223999449e-19	0.0004949187338101065
1.5487086591140978e-19	0.0005459939364196404
1.584124032533071e-19	0.00031859172890523474
1.5896005330251122e-19	0.00036601947851030796
1.5896005330251122e-19	0.0003429258314630011
1.594432275742024e-19	0.0003927570389455589
1.595379333136214e-19	0.0002830017864620073
1.6103357545323294e-19	0.00030082679501646615
1.690351486880764e-19	0.0004361081125189114
1.6980163035129109e-19	0.00035457088806891996
1.7001403352683467e-19	0.00038739293690565724
1.7020542354289327e-19	0.0004798377837800003
1.7062859770167837e-19	0.0003324680785758043
1.7190311769051685e-19	0.0003087590788709505
1.7645278330992707e-19	0.0005417292163400273
1.7819478423022313e-19	0.0004944114848222016
1.7959640267426046e-19	0.00033423362610437426
1.7965565945289789e-19	0.0003795459647040901
1.7965565945289789e-19	0.00035559887701690034
1.8096426653712883e-19	0.0004396702292781118
1.8171203535133295e-19	0.00040500572652789156
1.8234254849033463e-19	0.0004729229286454197
1.8919254434338825e-19	0.0005311322032235729
1.9149767632576132e-19	0.00041359396534944613
1.9258098922731641e-19	0.0006128625560243681
1.927335227701822e-19	0.0005629659414912334
1.9349800460962286e-19	0.00044433900558135713
1.9397169866012581e-19	0.0004778518580869562
1.975615639576833e-19	0.0007056716116256715
1.9814899731532324e-19	0.0006606258603356139
1.9932910928119577e-19	0.0005574342343987674
2.009930830611759e-19	0.0005879649713601062
2.0162492405580587e-19	0.0005189586516697516
2.0655885063514795e-19	0.0004464981818523758
