# Foster et al. Green Bank/Effelsberg radio telescope neutron star analysis
# Model A
# m_a [eV]  g_ap [GeV^-1]
4.770815001081711381e-05 2.376599907464994486e-11
4.824428609131379387e-05 3.185558844891629473e-11
4.843371774838049369e-05 2.464607384199607803e-11
4.879329316975926015e-05 3.303757825725500008e-11
4.916933464248541045e-05 2.651274520209917654e-11
4.953238553176910635e-05 3.824245147108421354e-11
4.972986535730482017e-05 2.650708603611553475e-11
5.010107199601695685e-05 3.302112617315777274e-11
5.030283572033868330e-05 2.127049405465043575e-11
5.068339879360997396e-05 2.206129763550366660e-11
5.086813043779997375e-05 2.851065097586446720e-11
5.126118984898682829e-05 2.205658863444852249e-11
5.164279180322586181e-05 2.850253710385078362e-11
5.184660698699234381e-05 2.125838899900916373e-11
5.223989651331092775e-05 2.125536381165784592e-11
5.242819940342902411e-05 2.955800982484400202e-11
5.263300419118858379e-05 2.372207014978187736e-11
5.283225446992050940e-05 2.372038219826675370e-11
5.311657175555728493e-05 4.109647541717337454e-11
5.386038673654034386e-05 1.181889249274509265e-11
5.426786424770888072e-05 1.225830036361862989e-11
5.488541803527491471e-05 1.271314005746340077e-11
5.509650831958196531e-05 1.138875048509852363e-11
5.572795997074378997e-05 1.020087716130146500e-11
5.636212925730690464e-05 1.057937692940678567e-11
5.678739522921048751e-05 1.138226913784097980e-11
5.743246935348072461e-05 1.224522322895832666e-11
5.804413432431505988e-05 4.750501708922123745e-11
5.830242292031282314e-05 1.417438504237806796e-11
5.874350638863001290e-05 1.470136642885199063e-11
5.918555403665591200e-05 1.640747478204063027e-11
5.985786994911400057e-05 1.765141808689482856e-11
6.053175587128001647e-05 2.280835029964282359e-11
6.053175587128001647e-05 1.000000000000000000e+02
