#  W. Yin, Y. Fujita, Y. Ezoe, Y. Ishisaki, 2025
# https://arxiv.org/abs/2503.04726
# mass [eV]	photon coupling [GeV^-1]
3788.	2.3028908260859157e-17
3788.666666666667	2.3109868363398952e-17
3789.3333333333335	2.3213274007534534e-17
3790.	2.333812046674125e-17
3790.6666666666665	2.348238264376382e-17
3791.333333333333	2.3642273970104396e-17
3792.	2.3811200781945e-17
3792.666666666667	2.397832376781413e-17
3793.3333333333335	2.4126622565707973e-17
3794.	2.4230443709952892e-17
3794.6666666666665	2.4247655429308292e-17
3795.333333333333	2.414060198393309e-17
3796.	2.3841059169182553e-17
3796.666666666667	2.3291903375830205e-17
3797.3333333333335	2.2537530668457657e-17
3798.	2.1628936383875862e-17
3798.6666666666665	2.062977621649017e-17
3799.333333333333	3.156110961306657e-17
3800.	2.8070394932511275e-17
3800.666666666667	2.5089328009455018e-17
3801.3333333333335	2.2762144890596417e-17
3802.	2.1004696919989293e-17
3802.6666666666665	2.2474730483053075e-17
3803.333333333333	2.1046286503501815e-17
3804.	2.0038696546121416e-17
3804.666666666667	1.9333625033723537e-17
3805.3333333333335	1.8817299371530734e-17
3806.	1.8392425021572714e-17
3806.6666666666665	1.8000810982249665e-17
3807.333333333333	1.7627896622854804e-17
3808.	1.7283954913034803e-17
3808.666666666667	1.6981972722545753e-17
3809.3333333333335	1.6727040656177822e-17
3810.	1.6516749726057365e-17
3810.6666666666665	1.6345143240970718e-17
3811.333333333333	1.6205720140603757e-17
3812.	1.6092687880019202e-17
3812.666666666667	1.600120883876629e-17
3813.3333333333335	1.592730711161733e-17
3814.	1.5867718148923492e-17
3814.6666666666665	1.581975875355607e-17
3815.333333333333	1.5781232337606968e-17
3816.	1.5750338595138103e-17
3816.666666666667	1.5725607522396695e-17
3817.3333333333335	1.57058462110634e-17
3818.	1.5690095230044693e-17
3818.6666666666665	1.567941887317801e-17
3819.333333333333	1.5670240532328217e-17
3820.	1.5663493974371872e-17
3820.666666666667	1.565892583859641e-17
3821.3333333333335	1.5656412699598856e-17
3822.	1.5655955161023215e-17
3822.6666666666665	1.5657676371527635e-17
3823.333333333333	1.5659486525142187e-17
3824.	1.4709624819854074e-17
3824.666666666667	1.4720724104640574e-17
3825.3333333333335	1.473575937612358e-17
3826.	1.4755638481051927e-17
3826.6666666666665	1.4781439709627992e-17
3827.333333333333	1.4814421810678327e-17
3828.	1.4855604296175255e-17
3828.666666666667	1.4905106689230758e-17
3829.3333333333335	1.4960497224635615e-17
3830.	1.501520245008254e-17
3830.6666666666665	1.5059199328076154e-17
3831.333333333333	1.5084652669195997e-17
3832.	1.509604516220976e-17
3832.666666666667	1.5117438082167015e-17
3833.3333333333335	1.5186047689295574e-17
3834.	1.53338110405994e-17
3834.6666666666665	1.5575208196058318e-17
3835.3333333333335	1.5911441941082365e-17
3836.	1.634240430899514e-17
3836.6666666666665	1.687491264425262e-17
3837.3333333333335	1.752456624954199e-17
3838.	1.8314235495239916e-17
3838.6666666666665	1.9271650598335046e-17
3839.3333333333335	2.0423742436593636e-17
3840.	2.1783963434267933e-17
3840.6666666666665	2.2257702994149338e-17
3841.3333333333335	2.4111079349142494e-17
3842.	2.595510322462246e-17
3842.6666666666665	2.749581408309616e-17
3843.3333333333335	2.845784852064328e-17
3844.	2.869417822224579e-17
3844.6666666666665	2.8475826137869754e-17
3845.3333333333335	2.802131009116591e-17
3846.	2.747049029865021e-17
3846.6666666666665	2.689543372071241e-17
3847.3333333333335	2.6341669898204305e-17
3848.	2.5830445193005355e-17
3848.6666666666665	2.537087934716065e-17
3849.3333333333335	2.4965323927250272e-17
3850.	2.4612560530861378e-17
