# FLASH projection
# unpolarised DP
# mass [eV]  kinetic mixing
1.400592192935221816e-06 8.662359605168660169e-17
1.408256324136971890e-06 8.574009836703884131e-17
1.415581802793149899e-06 8.471094555314046836e-17
1.422661174902423534e-06 8.370109238303761238e-17
1.429344867263376675e-06 8.274894157679299542e-17
1.435681884725356036e-06 8.192977580435300995e-17
1.441702986353862762e-06 8.089300865152059609e-17
1.447285627045527336e-06 8.008662004785428987e-17
1.452570120945252878e-06 7.912996784852403270e-17
1.457420495671038485e-06 7.838917369610184644e-17
1.461901876629506585e-06 7.766156076935971284e-17
1.465991657525435437e-06 7.688182309179372211e-17
1.469739246219538177e-06 7.613221512320658842e-17
1.473095568607293340e-06 7.555457770767757216e-17
1.476133302266937600e-06 7.494761995118163834e-17
1.478908052548834919e-06 7.439294123871891911e-17
1.481206873079073437e-06 7.395081254679235721e-17
1.483303224910121757e-06 7.354320999910839909e-17
1.485092568197662249e-06 7.297074111779474678e-17
1.486657302574486127e-06 7.257474290406726170e-17
1.487975366068516269e-06 7.237311181907883362e-17
1.489078287886873960e-06 7.177163317877494200e-17
1.490017609581846367e-06 7.152142815660893251e-17
1.490751614572240434e-06 7.116560075697790516e-17
1.491333287548034088e-06 7.089490145053195184e-17
1.491786349589656464e-06 7.064815225988521018e-17
1.492147091082363697e-06 7.037477156817092522e-17
1.492351122829731703e-06 7.012002516527812001e-17
1.492524183986579356e-06 6.988143203036778438e-17
1.492620487555030621e-06 6.978815933869943848e-17
1.492670885438408020e-06 6.954239652447189201e-17
1.492639200773887431e-06 6.938124799939254006e-17
1.492609685566186248e-06 6.915861584207683479e-17
1.492544514502478380e-06 6.905757196280025609e-17
1.492482774518076782e-06 6.883076713365097278e-17
1.492399994772366650e-06 6.878962461644505307e-17
1.492325442082506362e-06 6.860364546408219154e-17
1.492291473864707746e-06 6.848616205136626654e-17
1.492224955140711316e-06 6.849673962047082077e-17
1.492188096379878711e-06 6.824264118432194888e-17
1.492198957024431193e-06 6.813608525216395998e-17
1.492198957024431193e-06 1
